Host,Prize,Winner
EXEN,Yunvo SFP+ONU-XGSPON,zombsroyale enthusiast
EXEN,Yunvo SFP+ONU-XGSPON,DocLondom
GamerHaas,Ubiquiti Cloud Gateway Fiber 3D-printed Cooler,StawberryMew
EXEN,Yunvo SFP+ONU-XGSPON,Tea-Rex
EXEN,Yunvo SFP+ONU-XGSPON,engin33r3310
EXEN,Yunvo SFP+ONU-XGSPON,DarkStar851
brdchjbcf,2x Ubiquiti Protect AI LPR Cameras,bobblah
brdchjbcf,Ubiquiti UniFi Access Point XG,miaotataa
brdchjbcf,Ubiquiti Protect G4 Pro Security Camera,sshanee
brdchjbcf,Ubiquiti U6 Enterprise AP,Kid_Eternia
up-n-atom,Yunvo SFP+ONU-XGSPON,GamerHaas
brdchjbcf,Ubiquiti Protect Camera AI Pro w/ AI Pro Enhancer,JousterL
brdchjbcf,Ubiquiti Protect G4 Pro Camera,Mark12r
brdchjbcf,Ubiquiti Protect G4 Pro Camera,OCT0PUSCRIME
brdchjbcf,Ubiquiti Protect G4 Pro Camera,Lando BallsGlistenenenen
brdchjbcf,Ubiquiti Protect G4 Pro Camera,BzDy6XST146
brdchjbcf,DEC3860 - OPNsense Rack Security Appliance,Mr1070
Miguel R. (Globius Systems LLC),Azores Networks XSS,thatfatninja
brdchjbcf,Ubiquiti UNVR Pro,DarkImpact
ethxn (Cyberri Technologies Inc.),6 months cyberri.ca cs.small VPS,TheOnlyDetox
ethxn (Cyberri Technologies Inc.),6 months cyberri.ca cs.small VPS,Bread
ethxn (Cyberri Technologies Inc.),6 months cyberri.ca cs.small VPS,Mr1070
ethxn (Cyberri Technologies Inc.),6 months cyberri.ca cs.small VPS,Grokko
ethxn (Cyberri Technologies Inc.),6 months cyberri.ca cs.medium VPS,Pestilence204
ethxn (Cyberri Technologies Inc.),6 months cyberri.ca cs.medium VPS,LordWaffl
shandoosheri,FS.com GPON-ONU-34-2OBI,Ben
up-n-atom,YuLinca 6 Port 2.5G Managed Switch,Iris
brdchjbcf,Ubiquiti UXG Pro,Tea-Rex
brdchjbcf,Ubiquiti UDM SE,jahanson
