Host,Prize,Winner,Date
EXEN,Yunvo SFP+ONU-XGSPON,Blessed,2026-02-14
EXEN,Yunvo SFP+ONU-XGSPON,zombsroyale enthusiast,2025-12-25
EXEN,Yunvo SFP+ONU-XGSPON,DocLondom,2025-11-27
GamerHaas,Ubiquiti Cloud Gateway Fiber 3D-printed Cooler,StawberryMew,2025-11-20
EXEN,Yunvo SFP+ONU-XGSPON,Tea-Rex,2025-10-31
EXEN,Yunvo SFP+ONU-XGSPON,engin33r3310,2025-09-26
EXEN,Yunvo SFP+ONU-XGSPON,DarkStar851,2025-09-05
brdchjbcf,2x Ubiquiti Protect AI LPR Cameras,bobblah,2025-07-18
brdchjbcf,Ubiquiti UniFi Access Point XG,miaotataa,2025-05-30
brdchjbcf,Ubiquiti Protect G4 Pro Security Camera,sshanee,2025-05-23
brdchjbcf,Ubiquiti U6 Enterprise AP,Kid_Eternia,2025-05-02
up-n-atom,Yunvo SFP+ONU-XGSPON,GamerHaas,2025-04-27
brdchjbcf,Ubiquiti Protect Camera AI Pro w/ AI Pro Enhancer,JousterL,2025-04-22
brdchjbcf,Ubiquiti Protect G4 Pro Camera,Mark12r,2025-04-11
brdchjbcf,Ubiquiti Protect G4 Pro Camera,OCT0PUSCRIME,2025-04-11
brdchjbcf,Ubiquiti Protect G4 Pro Camera,Lando BallsGlistenenenen,2025-04-04
brdchjbcf,Ubiquiti Protect G4 Pro Camera,BzDy6XST146,2025-04-04
brdchjbcf,DEC3860 - OPNsense Rack Security Appliance,Mr1070,2025-03-14
Miguel R. (Globius Systems LLC),Azores Networks XSS,thatfatninja,2025-02-04
brdchjbcf,Ubiquiti UNVR Pro,DarkImpact,2025-01-17
ethxn (Cyberri Technologies Inc.),6 months cyberri.ca cs.small VPS,TheOnlyDetox,2025-01-08
ethxn (Cyberri Technologies Inc.),6 months cyberri.ca cs.small VPS,Bread,2025-01-08
ethxn (Cyberri Technologies Inc.),6 months cyberri.ca cs.small VPS,Mr1070,2025-01-08
ethxn (Cyberri Technologies Inc.),6 months cyberri.ca cs.small VPS,Grokko,2025-01-08
ethxn (Cyberri Technologies Inc.),6 months cyberri.ca cs.medium VPS,Pestilence204,2025-01-08
ethxn (Cyberri Technologies Inc.),6 months cyberri.ca cs.medium VPS,LordWaffl,2025-01-08
shandoosheri,FS.com GPON-ONU-34-2OBI,Ben,2024-10-03
up-n-atom,YuLinca 6 Port 2.5G Managed Switch,Iris,2024-09-13
brdchjbcf,Ubiquiti UXG Pro,Tea-Rex,2024-09-06
brdchjbcf,Ubiquiti UDM SE,jahanson,2024-08-24
